"Symbol","Company Name","Sector","Industry"
"AI-C","Arlington Asset Investment Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"AIG","American International Group Inc","Financials","Insurance"
"AIH","Aesthetic Medical International HldngsGL","Health Care","Health Care Providers & Services"
"AIHS","Senmiao Technology Ltd","Financials","Consumer Finance"
"AIKI","Aikido Pharma Inc","Industrials","Professional Services"
"AIM","AIM ImmunoTech Inc","Health Care","Biotechnology"
"AIMC","Altra Industrial Motion Corp","Industrials","Machinery"
"AIMT","Aimmune Therapeutics Inc","Health Care","Biotechnology"
"AIN","Albany International Corp.","Industrials","Machinery"
"AINC","Ashford Inc","Financials","Capital Markets"
"AINV","Apollo Investment Corp.","Financials","Capital Markets"
"AIR","AAR Corp.","Industrials","Aerospace & Defense"
"AIRG","Airgain Inc","Information Technology","Electronic Equipment, Instruments & Components"
"AIRI","Air Industries Group Inc","Industrials","Aerospace & Defense"
"AIRT","Air T, Inc.","Industrials","Air Freight & Logistics"
"AIRTP","Air T Inc","Industrials","Air Freight & Logistics"
"AIT","Applied Industrial Technologies Inc","Industrials","Trading Companies & Distributors"
"AIV","Apartment Investment and Management Co","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AIZ","Assurant, Inc.","Financials","Insurance"
"AIZP","Assurant Inc","Financials","Insurance"
"AJG","Arthur J Gallagher & Co","Financials","Insurance"
"AJRD","Aerojet Rocketdyne Holdings Inc","Industrials","Aerospace & Defense"
"AJX","Great Ajax Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"AKAM","Akamai Technologies, Inc.","Information Technology","IT Services"
"AKBA","Akebia Therapeutics Inc","Health Care","Biotechnology"
"AKCA","Akcea Therapeutics Inc","Health Care","Biotechnology"
"AKER","Akers Biosciences Inc","Health Care","Health Care Equipment & Supplies"
"AKO.A","EMBOTELLADORA ANDINA SA","Consumer Staples","Beverages"
"AKO.B","Embotelladora Andina SA (ADR)","Consumer Staples","Beverages"
"AKR","Acadia Realty Trust","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AKRO","Akero Therapeutics Inc","Health Care","Biotechnology"
"AKTS","Akoustis Technologies Inc","Information Technology","Electronic Equipment, Instruments & Components"
"AKTX","Akari Therapeutics PLC (ADR)","Health Care","Pharmaceuticals"
"AL","Air Lease Corp","Industrials","Trading Companies & Distributors"
"AL-A","Air Lease Corp","Industrials","Trading Companies & Distributors"
"ALACU","Alberton Acquisition Corp","",""
"ALB","Albemarle Corporation","Materials","Chemicals"
"ALBO","Albireo Pharma Inc","Health Care","Biotechnology"
"ALCO","Alico, Inc.","Consumer Staples","Food Products"
"ALDX","Aldeyra Therapeutics Inc","Health Care","Biotechnology"
"ALE","ALLETE Inc","Utilities","Electric Utilities"
"ALEC","Alector Inc","Health Care","Biotechnology"
"ALEX","Alexander & Baldwin Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"ALG","Alamo Group, Inc.","Industrials","Machinery"
"ALGN","Align Technology, Inc.","Health Care","Health Care Equipment & Supplies"
"ALGT","Allegiant Travel Company","Industrials","Airlines"
"ALIM","Alimera Sciences Inc","Health Care","Pharmaceuticals"
"ALIN-A","Altera Infrastructure LP","Energy","Oil, Gas & Consumable Fuels"
"ALIN-B","Altera Infrastructure LP","Energy","Oil, Gas & Consumable Fuels"
"ALIN-E","Altera Infrastructure LP","Energy","Oil, Gas & Consumable Fuels"
"ALJJ","ALJ Regional Holdings, Inc.","Information Technology","IT Services"
"ALK","Alaska Air Group, Inc.","Industrials","Airlines"
"ALKS","Alkermes Plc","Health Care","Biotechnology"
"ALL","Allstate Corp","Financials","Insurance"
"ALLE","Allegion PLC","Industrials","Building Products"
"ALLK","Allakos Inc","Health Care","Biotechnology"
"ALLO","Allogene Therapeutics Inc","Health Care","Biotechnology"
"ALLY","Ally Financial Inc","Financials","Consumer Finance"
"ALLY-A","GMAC Capital Trust I","",""
"ALNA","Allena Pharmaceuticals Inc","Health Care","Biotechnology"
"ALNY","Alnylam Pharmaceuticals, Inc.","Health Care","Biotechnology"
"ALOT","AstroNova Inc","Information Technology","Technology Hardware, Storage & Peripherals"
"ALP-Q","Alabama Power Co","Utilities","Electric Utilities"
"ALPN","Alpine Immune Sciences Inc","Health Care","Biotechnology"
"ALRM","AlarmCom Hldg Inc","Information Technology","Software"
"ALRN","Aileron Therapeutics Inc","Health Care","Biotechnology"
"ALRS","Alerus Financial Corp","Financials","Diversified Financial Services"
"ALSK","Alaska Communications Systems Group Inc","Communication Services","Diversified Telecommunication Services"
"ALSN","Allison Transmission Holdings Inc","Industrials","Machinery"
"ALT","Altimmune Inc","Health Care","Biotechnology"
"ALTG","Alta Equipment Group Inc","",""
"ALTM","Altus Midstream Co","Energy","Oil, Gas & Consumable Fuels"
"ALTR","Altair Engineering Inc","Information Technology","Software"
"ALUS","Alussa Energy Acquisition Corp","",""
"ALV","Autoliv Inc.","Consumer Discretionary","Auto Components"
"ALX","Alexander's, Inc.","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"ALXN","Alexion Pharmaceuticals, Inc.","Health Care","Biotechnology"
"AM","Antero Midstream Corp","Energy","Oil, Gas & Consumable Fuels"
"AMAG","AMAG Pharmaceuticals, Inc.","Health Care","Biotechnology"
"AMAL","Amalgamated Bank","Financials","Banks"
"AMAT","Applied Materials, Inc.","Information Technology","Semiconductors & Semiconductor Equipment"
"AMBA","Ambarella Inc","Information Technology","Semiconductors & Semiconductor Equipment"
"AMBC","Ambac Financial Group, Inc.","Financials","Insurance"
"AMBO","Ambow Education Holding Ltd (ADR)","Consumer Discretionary","Diversified Consumer Services"
"AMC","AMC Entertainment Holdings Inc","Communication Services","Entertainment"
"AMCI","AMCI Acquisition Corp","",""
"AMCR","Amcor PLC","Materials","Containers & Packaging"
"AMCX","AMC Networks Inc","Communication Services","Media"
"AMD","Advanced Micro Devices, Inc.","Information Technology","Semiconductors & Semiconductor Equipment"
"AME","AMETEK, Inc.","Industrials","Electrical Equipment"
"AMED","Amedisys Inc","Health Care","Health Care Providers & Services"
"AMEH","Apollo Medical Holdings Inc","Health Care","Health Care Providers & Services"
"AMG","Affiliated Managers Group, Inc.","Financials","Capital Markets"
"AMGN","Amgen, Inc.","Health Care","Biotechnology"
"AMH","American Homes 4 Rent","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AMH-D","American Homes 4 Rent","Real Estate","Equity Real Estate Investment Trusts (REITs)"
